Service,S3($),Total cost ($)
Service Total,578.9929681948004,578.9929681948004
2018-09-01,0.0246594035,0.0246594035
2018-09-02,0.0246810035,0.0246810035
2018-09-03,0.023887257600000003,0.023887257600000003
2018-09-04,0.023598057600000003,0.023598057600000003
2018-09-05,0.023598058,0.023598058
2018-09-06,0.0239520581,0.0239520581
2018-09-07,0.023598058300000002,0.023598058300000002
2018-09-08,0.025061061399999997,0.025061061399999997
2018-09-09,0.0235980634,0.0235980634
2018-09-10,0.024071466700000006,0.024071466700000006
2018-09-11,0.023598066900000002,0.023598066900000002
2018-09-12,0.0235980684,0.0235980684
2018-09-13,0.023598068500000003,0.023598068500000003
2018-09-14,0.0235872686,0.0235872686
2018-09-15,0.0225367201,0.0225367201
2018-09-16,0.0225259201,0.0225259201
2018-09-17,0.022525920400000003,0.022525920400000003
2018-09-18,0.0228139205,0.0228139205
2018-09-19,0.022525920600000002,0.022525920600000002
2018-09-20,0.022525920799999998,0.022525920799999998
2018-09-21,0.022569320900000002,0.022569320900000002
2018-09-22,0.0225151209,0.0225151209
2018-09-23,0.0225367214,0.0225367214
2018-09-24,0.0225151216,0.0225151216
2018-09-25,0.0228793217,0.0228793217
2018-09-26,0.022525921900000002,0.022525921900000002
2018-09-27,0.022644121999999996,0.022644121999999996
2018-09-28,0.0230083238,0.0230083238
2018-09-29,0.0225259227,0.0225259227
2018-09-30,0.022525922700000003,0.022525922700000003
2018-10-01,0.024243160900000005,0.024243160900000005
2018-10-02,0.024438361699999998,0.024438361699999998
2018-10-03,0.022847201,0.022847201
2018-10-04,0.022847201100000002,0.022847201100000002
2018-10-05,0.0228472077,0.0228472077
2018-10-06,0.0228472096,0.0228472096
2018-10-07,0.0228472114,0.0228472114
2018-10-08,0.0231548133,0.0231548133
2018-10-09,0.0228676152,0.0228676152
2018-10-10,0.023717217500000002,0.023717217500000002
2018-10-11,0.0228472197,0.0228472197
2018-10-12,0.022923824,0.022923824
2018-10-13,0.0228472267,0.0228472267
2018-10-14,0.0228364297,0.0228364297
2018-10-15,0.0223672665,0.0223672665
2018-10-16,0.022011646899999987,0.022011646899999987
2018-10-17,0.0218464529,0.0218464529
2018-10-18,0.0219622572,0.0219622572
2018-10-19,0.021915660599999998,0.021915660599999998
2018-10-20,0.0217894647,0.0217894647
2018-10-21,0.06708866790000001,0.06708866790000001
2018-10-22,0.067974121,0.067974121
2018-10-23,0.07195508130000002,0.07195508130000002
2018-10-24,0.1015677505,0.1015677505
2018-10-25,0.042801293,0.042801293
2018-10-26,0.1856721542,0.1856721542
2018-10-27,0.11645535840000001,0.11645535840000001
2018-10-28,0.11654923610000001,0.11654923610000001
2018-10-29,0.12575561349999997,0.12575561349999997
2018-10-30,0.08392522690000001,0.08392522690000001
2018-10-31,0.9039633682999999,0.9039633682999999
2018-11-01,5.3861371822,5.3861371822
2018-11-02,8.686138267599999,8.686138267599999
2018-11-03,10.230635394399997,10.230635394399997
2018-11-04,9.920897677199997,9.920897677199997
2018-11-05,9.9206458906,9.9206458906
2018-11-06,9.9203382954,9.9203382954
2018-11-07,9.9203382991,9.9203382991
2018-11-08,9.9203383025,9.9203383025
2018-11-09,9.9203383057,9.9203383057
2018-11-10,9.9203383091,9.9203383091
2018-11-11,9.9203383124,9.9203383124
2018-11-12,9.920857515399998,9.920857515399998
2018-11-13,9.469483340499998,9.469483340499998
2018-11-14,9.4694135469,9.4694135469
2018-11-15,9.500684746900001,9.500684746900001
2018-11-16,9.469424352499999,9.469424352499999
2018-11-17,9.4694243637,9.4694243637
2018-11-18,9.4694135682,9.4694135682
2018-11-19,9.4697659729,9.4697659729
2018-11-20,9.4705063774,9.4705063774
2018-11-21,9.4694243835,9.4694243835
2018-11-22,9.4694243866,9.4694243866
2018-11-23,9.4694243975,9.4694243975
2018-11-24,9.4694243975,9.4694243975
2018-11-25,9.469424408,9.469424408
2018-11-26,9.469751608,9.469751608
2018-11-27,9.4694136117,9.4694136117
2018-11-28,9.4694244117,9.4694244117
2018-11-29,9.4694136236,9.4694136236
2018-11-30,9.470107023599999,9.470107023599999
2018-12-01,10.0367050849,10.0367050849
2018-12-02,9.6003324379,9.6003324379
2018-12-03,9.6006832379,9.6006832379
2018-12-04,9.6173046069,9.6173046069
2018-12-05,9.651733995099999,9.651733995099999
2018-12-06,9.6836932813,9.6836932813
2018-12-07,9.742317201299997,9.742317201299997
2018-12-08,9.7005802292,9.7005802292
2018-12-09,9.6630387127,9.6630387127
2018-12-10,9.6633599199,9.6633599199
2018-12-11,9.6669069243,9.6669069243
2018-12-12,9.2268972255,9.2268972255
2018-12-13,9.287340431399999,9.287340431399999
2018-12-14,9.258914160900003,9.258914160900003
2018-12-15,9.2527419141,9.2527419141
2018-12-16,9.252741928899999,9.252741928899999
2018-12-17,9.2529009343,9.2529009343
2018-12-18,9.2535631396,9.2535631396
2018-12-19,9.252741948499999,9.252741948499999
2018-12-20,9.2527419578,9.2527419578
2018-12-21,9.2652395639,9.2652395639
2018-12-22,9.2680806114,9.2680806114
2018-12-23,9.268069817399999,9.268069817399999
2018-12-24,9.268419417399999,9.268419417399999
2018-12-25,9.268069817399999,9.268069817399999
2018-12-26,9.268069817399999,9.268069817399999
2018-12-27,9.268074817399999,9.268074817399999
2018-12-28,9.272670817399998,9.272670817399998
2018-12-29,9.2734965828,9.2734965828
2018-12-30,9.274326182800001,9.274326182800001
2018-12-31,9.2740225828,9.2740225828
